No,COUNTRY ,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,TOTAL 
1,"AFGHANISTAN, ISLAMIC REPUBLIC OF",83,150,112,40,108,44,47,78,34,41,52,72,861
2,"ALBANIA, REPUBLIC OF",14,15,5,16,12,15,11,19,14,13,12,31,177
3,"ALGERIA, PEOPLE'S DEMOCRATIC REPUBLIC OF",38,35,28,24,12,19,24,71,27,20,27,43,368
4,"ANDORRA, PRINCIPALITY OF",4,6,2,3,6,0,5,16,3,3,1,4,53
5,"ANGOLA, REPUBLIC OF",0,1,2,1,0,0,0,0,2,1,1,1,9
6,ANTIGUA & BARBUDA,1,5,2,2,1,1,2,1,1,1,0,3,20
7,ARGENTINA,236,254,271,300,122,50,71,54,92,87,169,103,"1,809"
8,"ARMENIA, REPUBLIC OF",180,87,75,66,53,87,105,102,123,88,79,165,"1,210"
9,AUSTRALIA,"9,452","5,693","8,932","14,023","4,873","9,997","8,801","8,239","8,746","6,912","10,299","14,961","110,928"
10,AUSTRIA,"2,833","3,156","2,573","1,103",637,543,"1,642","1,216",875,"1,036","1,692","2,014","19,320"
11,"AZERBAIJAN, REPUBLIC OF",78,30,109,19,16,13,30,30,24,36,19,108,512
,,,,,,,,,,,,,,
12,"BAHAMAS, COMMONWEALTH OF THE",1,4,4,24,6,1,0,5,3,0,0,0,48
13,"BAHRAIN, KINGDOM OF",588,147,195,151,108,245,392,432,99,90,103,308,"2,858"
14,"BANGLADESH, PEOPLE'S REPUBLIC OF",982,741,996,672,729,"1,030",857,"1,060",771,894,736,"1,019","10,487"
15,BARBADOS,4,2,3,3,3,0,0,1,0,2,0,0,18
16,"BELARUS, REPUBLIC OF",802,942,666,286,128,122,71,96,174,256,500,578,"4,621"
17,BELGIUM,"1,275","1,449","1,666","1,211",494,785,"3,681","1,994","1,384",816,"1,045","1,719","17,519"
18,BELIZE,2,1,1,2,0,0,1,1,0,6,0,2,16
19,BENIN,1,0,0,0,0,0,1,1,2,1,1,4,11
20,"BHUTAN, KINGDOM OF",110,72,37,42,30,41,49,48,38,29,47,136,679
21,BOLIVIA,6,5,17,9,2,8,4,9,6,4,5,6,81
22,BOSNIA & HERZEGOVINA,20,45,25,18,8,16,15,9,13,19,30,43,261
23,"BOTSWANA, REPUBLIC OF",9,4,4,4,0,3,4,5,1,0,1,13,48
24,"BRAZIL, FEDERATIVE REPUBLIC OF",226,156,357,786,124,116,117,98,102,125,298,269,"2,774"
25,"BRUNEI, NATION OF",4,3,17,6,6,5,13,10,4,7,5,11,91
26,BULGARIA,277,381,352,218,87,85,110,96,93,135,223,607,"2,664"
27,BURKINA FASO,2,1,0,4,1,0,1,1,3,2,0,4,19
28,BURUNDI ,1,0,0,0,0,0,1,1,1,11,1,2,18
,,,,,,,,,,,,,,
29,"CAMBODIA, KINGDOM OF",85,85,103,142,84,38,51,35,37,28,64,19,771
30,CAMEROON,2,0,1,1,0,4,2,2,4,5,2,1,24
31,CANADA,"5,682","3,999","5,113","4,972","3,297","4,676","6,017","5,440","2,903","2,406","3,496","4,680","52,681"
32,CAPE VERDE,1,0,0,0,0,0,2,1,1,0,0,1,6
33,CENTRAL AFRICAN REPUBLIC,0,0,0,0,0,0,1,0,0,0,0,0,1
34,CHAD,0,0,0,0,0,0,1,1,0,0,2,0,4
35,"CHILE, REPUBLIC OF",99,104,109,147,55,43,64,59,55,59,119,89,"1,002"
36,"CHINA, PEOPLE'S REPUBLIC OF","24,275","35,929","21,101","17,462","17,103","20,424","27,460","26,558","19,600","18,882","18,888","18,283","265,965"
37,"COLOMBIA, REPUBLIC OF",52,59,72,88,33,32,53,52,43,52,53,113,702
38,COMOROS,8,5,14,10,9,9,47,36,16,15,20,2,191
39,"CONGO, DEMOCRATIC REPUBLIC OF THE",1,2,5,4,3,4,1,3,3,3,0,4,33
40,"CONGO, REPUBLIC OF THE",0,1,0,0,0,0,1,1,2,0,2,0,7
41,"COSTA RICA, REPUBLIC OF",9,20,14,13,3,3,0,15,26,6,3,20,132
42,"COTE D'IVOIRE, REPUBLIC OF",1,3,1,1,2,2,3,2,1,1,2,1,20
43,CROATIA,481,276,209,163,92,70,129,125,83,112,147,294,"2,181"
44,"CUBA, REPUBLIC OF",3,2,5,6,3,3,2,1,4,3,12,8,52
45,"CYPRUS, REPUBLIC OF",55,53,51,45,43,44,91,98,37,32,51,72,672
46,CZECH REPUBLIC,"2,257","3,082","2,674","1,304",322,571,"1,050",637,889,688,"1,898","2,228","17,600"
,,,,,,,,,,,,,,
47,"DENMARK, KINGDOM OF","3,013","3,228","2,227",943,456,959,"2,951",925,576,994,943,"2,008","19,223"
48,"DJIBOUTI, REPUBLIC OF",1,1,4,1,0,0,0,0,0,1,0,1,9
49,"DOMINICA, COMMONWEALTH OF",4,9,3,3,1,3,4,3,1,1,7,10,49
50,DOMINICAN REPUBLIC,4,1,3,2,6,8,6,3,0,4,5,3,45
,,,,,,,,,,,,,,
51,"ECUADOR, REPUBLIC OF",7,15,10,43,0,5,2,12,8,13,5,16,136
52,"EGYPT, ARAB REPUBLIC OF",433,281,278,254,161,278,466,391,230,225,339,518,"3,854"
53,"EL SALVADOR, REPUBLIC OF",7,3,2,6,0,5,12,2,1,3,1,5,47
54,"ERITREA, STATE OF",8,12,10,3,4,5,3,2,7,2,3,12,71
55,ESTONIA,435,586,359,144,32,34,28,56,34,197,205,634,"2,744"
56,"ETHIOPIA, FEDERAL DEMOCRATIC REPUBLIC OF",18,19,24,12,28,9,22,17,10,13,21,14,207
,,,,,,,,,,,,,,
57,"FIJI, REPUBLIC OF",19,5,18,6,10,10,16,17,17,12,13,16,159
58,FINLAND,"1,854","1,499","1,036",371,230,298,242,211,231,368,688,"1,860","8,888"
59,FRANCE (FRENCH REPUBLIC),"12,221","16,871","14,818","7,411","3,721","3,688","11,303","11,016","4,316","4,784","6,825","9,475","106,449"
,,,,,,,,,,,,,,
60,GABON,0,2,0,0,0,1,1,1,0,0,0,0,5
61,"GAMBIA, THE",1,1,0,0,1,1,1,2,0,0,0,1,8
62,GEORGIA,85,82,63,82,44,26,37,35,79,48,56,60,697
63,GERMANY,"15,298","17,066","24,423","10,803","6,906","5,792","10,825","10,809","9,668","9,920","18,754","16,624","156,888"
64,"GHANA, REPUBLIC OF",9,6,13,10,8,9,8,6,14,22,15,7,127
65,GREECE,644,573,770,704,620,489,570,763,511,524,726,884,"7,778"
66,GRENADA,1,1,0,3,2,3,0,0,0,1,2,2,15
67,"GUATEMALA, REPUBLIC OF",9,4,5,5,4,3,5,6,7,6,3,3,60
68,"GUYANA, COOPERATIVE REPUBLIC OF",0,2,9,2,1,0,2,2,0,0,4,0,22
69,GUINEA- BISSAU,1,0,0,0,0,0,0,3,1,1,1,4,11
,,,,,,,,,,,,,,
70,"HAITI, REPUBLIC OF",1,1,2,0,0,1,1,1,2,0,1,0,10
71,"HONDURAS, REPUBLIC OF",9,3,5,0,5,2,3,3,4,8,2,5,49
72,HONG KONG,2,4,3,1,0,1,3,3,4,4,0,0,25
73,HUNGARY,894,870,517,231,103,138,163,183,147,337,301,630,"4,514"
,,,,,,,,,,,,,,
74,ICELAND,51,63,44,39,11,18,51,31,23,21,39,55,446
75,"INDIA, REPUBLIC OF","37,936","32,914","30,583","29,860","42,073","32,971","31,032","32,115","32,300","38,169","39,137","45,797","424,887"
76,"INDONESIA, REPUBLIC OF",535,350,589,352,470,349,468,471,381,472,414,514,"5,365"
77,"IRAN, ISLAMIC REPUBLIC OF",507,439,"1,716",239,268,332,710,580,230,255,196,248,"5,720"
78,"IRAQ, REPUBLIC OF",81,157,41,40,38,134,78,124,126,38,70,94,"1,021"
79,IRELAND,975,839,"1,470",922,384,710,"1,104",823,758,635,890,"1,320","10,830"
80,"ISRAEL, STATE OF","1,321","1,253","1,255",513,399,699,"1,345","1,976","2,778",466,703,"1,125","13,833"
81,ITALY,"5,348","4,843","4,157","2,266","1,058","1,367","3,247","5,747","1,654","1,540","1,976","5,176","38,379"
,,,,,,,,,,,,,,
82,JAMAICA,9,7,22,8,6,7,7,14,7,4,4,7,102
83,JAPAN,"4,694","5,263","4,629","3,512","4,229","3,074","3,798","5,625","4,480","2,831","2,658","4,657","49,450"
84,"JORDAN, THE HASHEMITE KINGDOM OF",366,254,299,241,117,268,230,314,200,181,294,392,"3,156"
,,,,,,,,,,,,,,
85,"KAZAKHSTAN, REPUBLIC OF",674,407,370,158,73,67,112,77,132,86,134,431,"2,721"
86,"KENYA, REPUBLIC OF",64,35,48,49,59,44,95,61,55,111,58,195,874
