No,Country,January ,February,Total
1,Afghanistan,6,15,21
2,Albania,17,33,50
3,Algeria,26,43,69
4,Andorra,10,7,17
5,Angola,0,3,3
6,Antigua and Barbuda,3,3,6
7,Argentina,164,79,243
8,Armenia,261,195,456
9,Australia,"9,563","8,778","18,341"
10,Austria,"2,492","2,640","5,132"
11,Azerbaijan,149,86,235
12,Bahamas,0,5,5
13,Bahrain,159,49,208
14,Bangladesh,"4,626","5,262","9,888"
15,Barbados,3,1,4
16,Belarus,"2,050","1,455","3,505"
17,Belgium,"1,739","1,994","3,733"
18,Bhutan,92,39,131
19,Bolivia,0,3,3
20,Bosnia and Herzegovina,37,46,83
21,Botswana,7,1,8
22,Brazil,234,177,411
23,Brunei Darussalam,12,1,13
24,Bulgaria,634,838,"1,472"
25,Burkina Faso,2,1,3
26,Burundi,2,0,2
27,Cambodia,26,132,158
28,Cameroon,2,1,3
29,Canada,"4,458","4,550","9,008"
30,Chile,45,77,122
31,China,"16,709","11,690","28,399"
32,Republic of Congo,6,0,6
33,Colombia,45,44,89
34,Comoros,3,1,4
35,"Congo, The Demograpic Republic of ",0,2,2
36,Costa Rica,9,13,22
38,Cote Divoire,1,0,1
39,Croatia,316,360,676
40,Cuba,3,4,7
41,Cyprus,87,80,167
42,Czech Republic,"2,754","3,370","6,124"
43,Denmark,"2,822","2,713","5,535"
44,Djibouti,2,1,3
45,Dominica,7,9,16
46,Dominican Republic,3,1,4
47,Ecuador,6,12,18
48,Egypt,357,469,826
49,El Salvador,1,2,3
Rank,Country,January ,February,Total
50,Eritrea,2,1,3
51,Estonia,915,934,"1,849"
52,Ethiopia,13,17,30
53,Fiji,29,23,52
54,Finland,808,790,"1,598"
55,France,"12,619","15,469","28,088"
56,"Gambia, The",0,3,3
57,Georgia,170,81,251
58,Germany,"15,050","17,233","32,283"
59,Ghana,8,4,12
60,Greece,415,395,810
61,Grenada,0,2,2
62,Guatemala,6,3,9
63,Guinea,2,0,2
64,Guinea-Bissau,3,0,3
65,Guyana,5,5,10
66,Haiti,0,1,1
67,Honduras,1,2,3
68,Hungary,"1,388","1,089","2,477"
69,Iceland,58,38,96
70,India,"43,375","35,728","79,103"
71,Indonesia,280,515,795
72,Iran,886,615,"1,501"
73,Iraq,131,114,245
74,Ireland,986,"1,067","2,053"
75,Israel,"2,730","2,959","5,689"
76,Italy,"4,778","4,115","8,893"
77,Jamaica,3,5,8
78,Japan,"2,631","3,527","6,158"
79,Jordan,178,297,475
80,Kazakhstan,"3,015","2,463","5,478"
81,Kenya,42,55,97
82,Kosovo,9,12,21
83,Kuwait,174,204,378
84,Kyrgyzstan,151,126,277
85,Lao People's Democratic Republic,37,31,68
86,Latvia,844,596,"1,440"
87,Lebanon,145,357,502
88,Lesotho,1,0,1
89,Liberia,1,4,5
90,Libya,2,5,7
91,Liechtenstein,8,12,20
92,Lithuania,"1,639","1,354","2,993"
93,Luxembourg,73,96,169
94,Macedonia,25,8,33
95,Madagascar,15,11,26
96,Malawi,3,4,7
97,Malaysia,"2,125","1,415","3,540"
98,Maldives,"2,999","2,843","5,842"
99,Mali,1,0,1
Rank,Country,January ,February,Total
100,Malta,129,130,259
101,Marshall Islands,1,0,1
102,Mauritius,49,90,139
103,Mexico,82,118,200
104,Moldova,130,167,297
105,Monaco,4,2,6
106,Mongolia,28,4,32
107,Montenegro,23,11,34
108,Morocco,82,102,184
109,Mozambique,7,6,13
110,Myanmar,97,82,179
111,Namibia,0,11,11
112,Nepal,689,374,"1,063"
113,Netherlands,"6,484","5,589","12,073"
114,New Zealand,997,741,"1,738"
115,Nicaragua,0,3,3
116,Niger,1,0,1
117,Nigeria,14,4,18
118,Norway,"1,665","1,400","3,065"
119,Oman,156,212,368
120,Pakistan,"1,430","1,152","2,582"
121,Palestinian Territories,18,34,52
122,Panama,2,6,8
123,Papua New Guinea,4,4,8
124,Paraguay,5,2,7
125,Peru,16,24,40
126,Philippines,424,381,805
127,Poland,"7,585","8,519","16,104"
128,Portugal,789,699,"1,488"
129,Qatar,33,46,79
130,Romania,888,894,"1,782"
131,Russian Federation,"34,096","30,295","64,391"
132,Rwanda,6,3,9
133,Saint Kitts and Nevis,15,16,31
134,Saint Lucia,4,3,7
135,Saint Vincent The Grenadi,1,0,1
136,San Marino,2,4,6
137,Saudi Arabia,487,358,845
138,Senegal,5,4,9
139,Serbia,392,309,701
140,Seychelles,397,212,609
141,Sierra Leone,5,1,6
142,Singapore,"1,048","1,024","2,072"
143,Slovakia,"1,117","1,209","2,326"
144,Slovenia,498,684,"1,182"
145,Somalia,3,4,7
146,South Africa,365,393,758
147,South Korea ,"2,149","1,471","3,620"
148,South Sudan,2,1,3
149,Spain,"2,696","2,528","5,224"
150,Sudan,70,52,122
Rank,Country,January ,February,Total
151,Suriname,0,3,3
152,Swaziland,1,0,1
153,Sweden,"2,235","2,007","4,242"
154,Switzerland,"3,322","3,266","6,588"
155,Syrian Arab Republic,2,0,2
156,Tajikistan,28,21,49
157,Tanzania,10,12,22
158,Thailand,625,719,"1,344"
159,Timor-Leste,2,8,10
160,Trinidad and Tobago,8,8,16
161,Tunisia,43,124,167
162,Turkey,"1,152",728,"1,880"
163,Turkmenistan,21,9,30
164,Uganda,23,14,37
165,Ukraine,"1,872","1,387","3,259"
166,United Arab Emirates,191,171,362
167,United Kingdom,"21,730","25,528","47,258"
168,United States,"7,067","6,439","13,506"
169,Uruguay,20,26,46
170,Uzbekistan,140,134,274
171,Vanuatu,7,3,10
172,Venezuela,10,15,25
173,Vietnam,257,253,510
174,Yemen ,56,27,83
175,Zambia,9,9,18
176,Zimbabwe,11,15,26
Total,,"252,761","240,217","492,978"
